S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
147,DAMAN AND DIU,DIU,848,4000,0,4000,143,0,0,12,31,0,187,187,9,177,28,23,42,93,53,35,78,0,0,177,0,177,0
148,DELHI,CENTRAL,652,7931,0,7931,461,0,0,69,2,53,2567,2567,257,2310,1498,0,249,1747,76,2287,563,0,0,2310,0,2310,0
149,DELHI,EAST,652,3160,0,3160,147,0,0,33,5,53,1668,1668,167,1501,1329,0,119,1448,96,1530,72,0,0,1501,0,1501,0
150,DELHI,NAZUL LAND,652,2579,0,2579,391,0,0,64,0,3,571,571,57,514,105,0,233,338,66,105,176,0,0,514,0,514,0
151,DELHI,NEW DELHI,652,15809,0,15809,1119,0,0,190,7,63,3029,3029,303,2726,2671,2,687,3360,123,2842,9,0,0,2726,0,2726,0
152,DELHI,NORTH,652,29114,0,29114,2300,0,0,137,15,71,4725,4725,472,4252,3248,50,492,3790,89,3535,462,0,0,4252,0,4252,0
153,DELHI,NORTH EAST,652,3567,0,3567,184,0,0,43,2,37,1814,1814,181,1632,1576,0,155,1730,106,1627,50,0,0,1632,0,1632,0
154,DELHI,NORTH WEST,652,15436,0,15436,1296,0,0,141,1,48,3873,3873,387,3486,1748,1,511,2260,65,2692,1226,0,0,3486,0,3486,0
155,DELHI,SHAHDARA,652,3459,0,3459,149,0,0,94,2,53,1651,1651,165,1486,1328,1,338,1667,112,1549,13,0,0,1486,0,1486,0
156,DELHI,SOUTH,652,15785,0,15785,1184,0,0,197,26,65,4527,4527,453,4075,3504,0,710,4214,103,3504,138,0,0,4075,0,4075,0
157,DELHI,SOUTH EAST,652,10352,0,10352,648,0,0,61,3,59,2664,2664,266,2398,1883,13,220,2116,88,1940,225,0,0,2398,0,2398,0
158,DELHI,SOUTH WEST,652,30516,0,30516,2920,0,0,1102,26,72,7380,7380,738,6642,1907,0,3981,5888,89,3220,138,0,0,6642,0,6642,0
159,DELHI,WEST,652,11054,0,11054,1248,0,0,203,6,66,3835,3835,300,3535,2539,1,732,3271,93,2545,360,0,0,3535,0,3535,0
160,GOA,GOA NORTH,3354,98987,47323,146310,14593,287,716,372,37,492,16495,16495,3299,13196,1824,106,1675,3605,27,2162,9254,0,0,13196,0,13196,0
161,GOA,SOUTH GOA,3356,121972,101916,223888,19704,460,500,213,167,588,21631,21631,4326,17305,2199,375,926,3500,20,2606,13397,0,0,17305,0,17305,0
162,GUJARAT,AHMEDABAD,701,707726,0,707726,101739,439734,10754,12915,409,4725,570275,570275,55907,514368,9045,3490,67072,79606,83,7214,16338,0,0,42258,472110,42258,472110
163,GUJARAT,AMRELI,735,747847,0,747847,135017,31,1620,13230,376,3845,154119,154119,7706,146413,1254,74,82974,84302,57,1340,61636,0,0,144665,1748,144665,1748
164,GUJARAT,ANAND,859,304119,0,304119,48626,51942,26138,7742,663,1073,136184,136184,9871,126313,4145,2624,30628,37397,29,4182,77621,0,0,110795,15518,110795,15518
165,GUJARAT,ARVALLI,901,310372,6518,316890,80036,1216,1672,7163,253,639,90978,90978,4549,86429,2089,25,35908,38022,44,2528,47968,0,0,86429,0,86429,0
166,GUJARAT,BANASKANTHA,686,1050135,29809,1079945,149817,7686,88,17991,526,19364,195471,195471,19547,175924,5210,42,184745,189997,121,5800,11587,0,0,118910,57014,118910,57014
167,GUJARAT,BHARUCH,805,546298,4390,550688,66522,9447,9495,4711,778,5497,96451,96451,8256,88195,2484,1340,17704,21527,27,2155,45939,0,0,63558,24637,63558,24637
168,GUJARAT,BHAVNAGAR,691,728148,0,728148,103295,379,6777,10239,508,5166,126364,126364,6338,120026,3964,79,49562,53605,45,3913,57877,0,0,106254,13772,106254,13772
169,GUJARAT,BOTAD,714,248480,0,248480,44688,523,313,4882,42,1818,52266,52266,2615,49651,1033,17,27613,28663,57,1112,18199,0,0,43035,6616,43035,6616
170,GUJARAT,CHHOTA UDEPUR,1119,326493,17298,343791,42927,8720,1931,5965,316,3455,63315,63315,6332,56984,2265,1,23578,25844,45,2662,30742,0,0,56984,0,56984,0
171,GUJARAT,DAHOD,724,351971,12158,364129,19313,859,3948,3123,225,9973,37441,37441,3404,34037,2360,3,11501,13864,41,3390,19143,0,0,34037,0,34037,0
172,GUJARAT,DANG,2388,144922,35515,180437,32398,0,8,949,98,1204,34657,34657,3466,31191,503,1,3452,3956,13,646,27092,0,0,31191,0,31191,0
173,GUJARAT,DEVBHUMI DWARKA,919,420637,12245,432882,42727,522,196,5997,222,1515,51179,51179,2559,48620,1700,100,31913,33714,70,1863,12674,0,0,43593,5026,43593,5026
174,GUJARAT,GANDHINAGAR,795,215521,0,215521,45095,11304,137,6478,368,1700,65082,65082,5687,59394,1365,926,62018,64309,111,1887,9669,0,0,57791,1603,57791,1603
175,GUJARAT,GIR SOMNATH,1108,328588,0,328588,70962,1076,224,7545,377,820,81004,81004,6416,74587,3061,77,32828,35966,49,3472,35378,0,0,70296,4291,70296,4291
176,GUJARAT,JAMNAGAR,808,642348,99,642447,121138,337,3592,12644,258,5101,143069,143069,7163,135906,2549,46,58832,61428,44,2857,73256,0,0,130651,5255,130651,5255
177,GUJARAT,JUNAGADH,1182,547124,8142,555266,152905,1065,151,13405,249,1453,169229,169229,8467,160762,3333,79,73809,77221,47,3845,78655,0,0,150808,9954,150808,9954
178,GUJARAT,KACHCHH,560,2049136,0,2049136,162955,2915,6272,17174,602,22689,212606,212606,19650,192956,3599,1077,113802,118478,52,1636,43128,0,0,89916,103040,89916,103040
179,GUJARAT,KHEDA,859,343764,0,343764,54077,18922,14272,7791,699,1824,97587,97587,8290,89296,3268,631,36529,40429,41,3375,46047,0,0,79362,9934,79362,9934
180,GUJARAT,MAHESANA,760,440748,2428,443176,75832,181614,5605,21070,477,4011,288609,288609,28439,260170,1945,942,111504,114391,109,1651,6309,0,0,74551,185620,74551,185620
181,GUJARAT,MAHISAGAR,752,245901,4096,249997,17689,4970,4365,4023,424,2663,34133,34133,3413,30720,918,13,14594,15524,51,1107,15006,0,0,30720,0,30720,0
182,GUJARAT,MORBI,626,499270,0,499270,55276,197,19025,10568,397,2647,88111,88111,6061,82050,1668,192,39601,41461,52,1862,32254,0,0,67620,14430,67620,14430
183,GUJARAT,NARMADA,1123,250995,29237,280232,27824,1889,1966,5549,65,4359,41652,41652,2995,38657,553,5,25284,25842,67,654,12714,0,0,38657,0,38657,0
184,GUJARAT,NAVSARI,1895,216782,5828,222610,61639,2792,12162,5819,217,764,83393,83393,6131,77262,2712,276,21010,23997,31,2973,52907,0,0,77165,97,77165,97
185,GUJARAT,PANCHMAHAL,912,325474,3567,329041,20535,13083,5447,3594,225,15307,58192,58192,3894,54298,1564,375,12748,14687,27,1923,39252,0,0,54298,0,54298,0
186,GUJARAT,PATAN,627,568651,0,568651,81100,14889,527,7580,234,10227,114556,114556,10753,103803,1482,29,69608,71118,119,1094,12,0,0,37610,66193,37610,66193
187,GUJARAT,PORBANDAR,844,230541,0,230541,32799,75,0,4683,65,770,38392,38392,2751,35641,894,222,19683,20799,57,584,9264,0,0,21447,14194,21447,14194
188,GUJARAT,RAJKOT,809,776259,0,776259,139884,708,2219,24252,435,10423,177922,177922,8896,169025,2596,520,109927,113043,66,3273,56981,0,0,169025,0,169025,0
189,GUJARAT,RANA AND KUTCH,0,0,0,0,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
190,GUJARAT,SABARKANTHA,919,407378,17542,424920,57339,5248,4575,9319,386,8279,85146,85146,8515,76632,2084,272,55363,57718,75,2765,20373,0,0,76632,0,76632,0
191,GUJARAT,SURAT,1551,421240,342,421582,105706,10035,28712,10520,443,599,156016,156016,12281,143735,19736,3078,36278,59091,42,32630,78135,0,0,134748,8986,134748,8986
192,GUJARAT,SURENDRANAGAR,607,927607,0,927607,104491,107285,7887,11661,136,4957,236417,236417,18982,217434,2860,116,61530,64507,52,1551,36252,0,0,75680,141755,75680,141755
193,GUJARAT,TAPI,1484,308550,10022,318572,54150,3073,11567,7308,166,951,77215,77215,5980,71235,510,61,25850,26421,37,974,44350,0,0,71235,0,71235,0
194,GUJARAT,VADODARA,898,406399,0,406399,62891,26622,13759,16438,829,7574,128112,128112,8067,120045,6681,2381,58365,67426,67,7853,33976,0,0,101350,18695,101350,18695
195,GUJARAT,VALSAD,2487,238388,62509,300897,56361,594,12526,4435,194,3009,77119,77119,7712,69407,4442,718,16558,21718,31,5656,46465,0,0,69397,10,69397,10
196,HARYANA,AMBALA,1066,150905,300,151205,27696,1397,2384,11271,274,26,43048,43048,4305,38743,7009,7575,35844,50427,130,7009,730,0,0,38743,0,38743,0
197,HARYANA,BHIWANI,347,328695,1032,329727,17417,3600,9006,13290,115,0,43428,43428,4343,39085,2048,1993,53523,57563,111,2048,7146,0,0,39085,0,39085,0
198,HARYANA,CHARKHI DADRI,425,137161,189,137350,9657,179,1733,7303,268,0,19140,19140,1721,17419,1254,28,24902,26183,140,1268,3851,0,0,17419,0,17419,0
199,HARYANA,FARIDABAD,602,65561,8717,74278,7348,758,1875,4601,76,295,14952,14952,1310,13642,4450,5160,15314,24924,175,4503,432,0,0,13642,0,13642,0
200,HARYANA,FATEHABAD,298,252512,0,252512,15079,7480,8987,33836,334,89,65804,65804,6580,59224,2002,98,103258,105359,178,2002,954,0,0,59224,0,59224,0
201,HARYANA,GURGAON,559,122246,3789,126035,12774,228,2640,6867,204,2373,25102,25102,2510,22591,5192,17143,21628,43962,195,5192,0,0,0,22591,0,22591,0
202,HARYANA,HISAR,476,407527,0,407527,36242,4236,15182,14960,1133,0,71752,71752,5666,66086,366,230,51073,51669,73,366,24897,0,0,66086,0,66086,0
203,HARYANA,JHAJJAR,464,193465,0,193465,17007,4029,20402,6978,857,489,49764,49764,4075,45688,451,115,22798,23363,50,451,23027,0,0,45688,0,45688,0
204,HARYANA,JIND,396,275091,0,275091,19508,7891,22216,24377,1031,804,75827,75827,7583,68244,1475,810,87849,90134,116,2557,3754,0,0,68244,0,68244,0
205,HARYANA,KAITHAL,484,227414,0,227414,18591,155,2368,24834,542,0,46490,46490,4649,41841,3401,634,78374,82409,197,3893,0,0,0,41841,0,41841,0
206,HARYANA,KARNAL,649,247052,0,247052,32752,20768,1380,62301,505,0,117707,117707,11771,105936,8227,3292,172317,183837,174,8227,0,0,0,105936,0,105936,0
207,HARYANA,KURUKSHETRA,624,168420,0,168420,19521,72,361,21479,391,0,41824,41824,3973,37851,4220,12576,68571,85367,226,4220,0,0,0,37851,0,37851,0
208,HARYANA,MAHENDRAGARH,333,191788,2295,194083,10183,542,3830,7028,224,200,22007,22007,2201,19806,4977,31,26059,31067,157,4977,0,0,0,19806,0,19806,0
209,HARYANA,MEWAT,435,136906,13326,150232,9519,1690,1754,3326,1519,1467,19277,19277,1860,17417,2079,24,14207,16310,72,2079,5454,0,0,17417,0,17417,0
210,HARYANA,PALWAL,442,135826,129,135955,10652,13146,9102,10703,500,122,44226,44226,3838,40387,2283,733,34137,37152,92,2283,7188,0,0,40387,0,40387,0
211,HARYANA,PANCHKULA,1379,50672,37615,88287,12273,0,0,2258,51,0,14582,14582,1136,13446,1143,90,7111,8345,62,1143,5101,0,0,13446,0,13446,0
212,HARYANA,PANIPAT,479,130273,0,130273,12876,2260,2111,34966,336,74,52622,52622,5262,47360,2501,2016,100256,104774,218,2501,0,0,0,47360,0,47360,0
213,HARYANA,REWARI,542,146168,4720,150888,13430,413,5326,9180,284,181,28813,28813,2330,26483,2225,1452,31701,35378,133,2225,147,0,0,26483,0,26483,0
214,HARYANA,ROHTAK,446,166907,0,166907,15523,2967,10456,4902,527,2184,36559,36559,3656,32903,554,166,21904,22623,49,554,16848,0,0,32903,0,32903,0
215,HARYANA,SIRSA,284,426993,0,426993,22114,2404,11625,29899,532,12,66585,66585,5711,60875,2346,266,148665,151278,160,2346,3040,0,0,60875,0,60875,0
216,HARYANA,SONIPAT,452,215722,0,215722,19256,7558,23487,18065,688,39,69093,69093,6909,62183,8951,939,59481,69371,109,8951,5918,0,0,62183,0,62183,0
217,HARYANA,YAMUNA NAGAR,901,143277,28500,171777,24866,11768,2150,19768,225,0,58778,58778,5878,52900,5073,2340,63044,70457,133,5073,2761,0,0,52900,0,52900,0
218,HIMACHAL PRADESH,BLS,1507,10700,28800,39500,2394,,229,100,,,2723,2723,272,2450,829,0,315,1143,47,829,1307,0,0,2450,0,2450,0
219,HIMACHAL PRADESH,KNG,1111,2900,3679,6579,567,0,80,76,21,0,744,744,74,669,104,6,302,413,62,104,257,0,0,669,0,669,0
220,HIMACHAL PRADESH,LAS,1618,8200,0,8200,1904,0,0,24,0,0,1928,1928,96,1832,192,375,96,663,36,192,1169,0,0,1832,0,1832,0
221,JAMMU AND KASHMIR,Anantnag,967,60487,31902,92389,10299,0,797,0,,,11095,11095,1110,9986,1960,38,369,2367,24,1960,7619,119126,0,129111,0,129111,0
222,JAMMU AND KASHMIR,Bandipora,774,33937,17446,51383,4641,0,102,0,,,4743,4743,471,4272,661,1,11,673,16,661,3599,87381,0,91653,0,91653,0
223,JAMMU AND KASHMIR,Baramulla,921,57627,64043,121670,9279,0,1649,0,,,10928,10928,1093,9835,1846,5,364,2216,23,1846,7619,146062,0,155897,0,155897,0
224,JAMMU AND KASHMIR,Barmulla,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
225,JAMMU AND KASHMIR,Budgam,717,29168,31614,60783,3681,0,1588,0,,,5269,5269,527,4742,1213,5,106,1325,28,1213,3418,75416,0,80158,0,80158,0
226,JAMMU AND KASHMIR,Doda,1269,975,109013,109988,218,0,822,0,,,1040,1040,104,936,170,5,17,193,21,170,743,0,0,936,0,936,0
227,JAMMU AND KASHMIR,Ganderbal,914,4099,11072,15171,660,0,272,0,147,,1079,1079,108,971,245,10,190,446,46,245,525,15534,0,16505,0,16505,0
228,JAMMU AND KASHMIR,Jammu,1361,169423,80626,250049,39002,2792,3856,0,26,,45676,45676,4525,41151,7733,719,5187,13639,33,7733,27511,1171890,0,1213041,0,1213041,0
229,JAMMU AND KASHMIR,Kathua,1872,82909,164903,247813,29962,0,4060,0,,,34022,34022,3317,30705,3713,641,2991,7346,24,3713,23359,686317,0,717022,0,717022,0
230,JAMMU AND KASHMIR,Kishtwar,1269,3374,255454,258828,753,0,568,0,,,1321,1321,132,1189,151,4,32,186,16,151,1003,2430,0,3618,0,3618,0
231,JAMMU AND KASHMIR,Kulgam,1228,24824,17516,42341,5366,0,1426,0,,,6791,6791,679,6112,1068,29,158,1255,21,1068,4857,49879,0,55991,0,55991,0
232,JAMMU AND KASHMIR,Kupwara,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
233,JAMMU AND KASHMIR,Kupwarar,1057,19705,62643,82347,3666,0,2541,0,,,6207,6207,621,5586,1172,11,17,1199,21,1172,4387,40914,0,46500,0,46500,0
234,JAMMU AND KASHMIR,Mirpur,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
235,JAMMU AND KASHMIR,Muzaffarabad,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
236,JAMMU AND KASHMIR,Poonch,1337,8118,159115,167233,1910,0,3226,0,,,5137,5137,514,4623,445,5,333,782,17,445,3840,28461,0,33084,0,33084,0
237,JAMMU AND KASHMIR,Pulwama,579,38779,12085,50865,3950,0,1840,0,,,5790,5790,579,5211,1492,15,482,1989,38,1492,3222,86299,0,91510,0,91510,0
238,JAMMU AND KASHMIR,Rajouri,1188,65547,216328,281875,14681,0,3110,0,,,17792,17792,1779,16013,1229,5,788,2021,13,1229,13991,216725,0,232737,0,232737,0
239,JAMMU AND KASHMIR,Ramban,1468,1553,63104,64657,401,0,338,0,,,740,740,74,666,147,5,60,212,32,147,454,1440,0,2106,0,2106,0
240,JAMMU AND KASHMIR,Reasi,2189,27374,185951,213325,10546,0,13734,0,,,24280,24280,2428,21852,2003,36,364,2404,11,2003,19449,63136,0,84989,0,84989,0
241,JAMMU AND KASHMIR,Samba,1044,79170,25252,104422,14707,0,2488,0,,,17195,17195,1613,15582,2139,156,431,2727,18,2139,12855,609731,0,625313,0,625313,0
242,JAMMU AND KASHMIR,Shopian,807,27983,1675,29658,3974,0,1302,0,,,5276,5276,528,4748,870,27,130,1026,22,870,3722,62171,0,66919,0,66919,0
243,JAMMU AND KASHMIR,Srinagar,816,87500,0,87500,12562,0,158,14,920,,13654,13654,1365,12288,6575,328,45,6948,57,6575,5340,115395,0,127683,0,127683,0
244,JAMMU AND KASHMIR,Srinagar Hilly Area,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
245,JAMMU AND KASHMIR,Udhampur,1632,34642,215248,249889,9368,0,2805,0,34,,12207,12207,1221,10986,1771,120,465,2356,21,1771,8630,135158,0,146145,0,146145,0
246,JHARKHAND,BOKARO,1209,262443,23495,285938,17768,0,826,700,577,674,20546,20546,1961,18585,4564,2214,2413,9191,49,4595,9958,121429,0,140014,0,140014,0
247,JHARKHAND,CHATRA,1148,326087,67102,393189,20295,0,1932,1956,209,1104,25496,25496,2032,23464,2093,1115,6531,9739,42,2107,13710,151379,0,174843,0,174843,0
248,JHARKHAND,DEOGHAR,1309,190698,64407,255105,14052,0,855,1666,382,3,16958,16958,1050,15908,3078,88,5461,8626,54,3099,7261,87871,0,103779,0,103779,0
249,JHARKHAND,DHANBAD,1388,197673,50178,247851,20318,,457,847,595,5830,28047,28047,1677,26369,6079,10628,2974,19681,75,6120,6848,89342,0,115712,0,115712,0
250,JHARKHAND,DUMKA,1423,281367,90276,371643,27961,0,2683,1123,807,0,32574,32574,2600,29974,2657,24,3742,6423,21,2675,23532,132387,0,162361,0,162361,0
251,JHARKHAND,EAST SINGHBHUM,1438,250993,112342,363335,25888,0,460,545,243,1571,28708,28708,2402,26306,5166,758,1860,7784,30,5201,18966,138340,0,164646,0,164646,0
252,JHARKHAND,GARHWA,1089,291643,112832,404475,24004,0,1543,2169,1143,190,29049,29049,2438,26611,2525,61,7327,9913,37,2542,16681,132225,0,158836,0,158836,0
253,JHARKHAND,GIRIDIH,1242,440079,68411,508490,34847,0,2621,2190,800,289,40747,40747,2871,37877,4938,1562,8762,15262,40,4972,22581,189885,0,227762,0,227762,0
254,JHARKHAND,GODDA,1180,166402,44707,211109,20484,0,1698,560,436,96,23273,23273,1890,21383,2629,259,1869,4757,22,2647,16609,75510,0,96894,0,96894,0
255,JHARKHAND,GUMLA,1369,407115,127611,534726,32592,0,534,1102,71,0,34298,34298,2841,31457,1962,13,3790,5764,18,1975,25680,211111,0,242568,0,242568,0
256,JHARKHAND,HAZARIBAGH,1338,352662,78384,431046,30366,0,1195,2378,835,192,34965,34965,2921,32044,3565,470,7851,11887,37,3590,20133,156542,0,188586,0,188586,0
257,JHARKHAND,JAMTARA,1444,98346,82083,180429,6720,0,1380,661,275,0,9036,9036,722,8314,1601,10,2280,3892,47,1612,4412,44815,0,53129,0,53129,0
258,JHARKHAND,KHUNTI,1409,167005,93012,260017,11983,0,179,698,520,0,13381,13381,956,12424,1074,13,2385,3471,28,1081,8946,85374,0,97798,0,97798,0
259,JHARKHAND,KODERMA,1130,90902,58768,149670,5811,0,165,796,269,0,7041,7041,473,6567,1486,99,2534,4119,63,1496,2438,43934,0,50501,0,50501,0
260,JHARKHAND,LATEHAR,1279,238513,122748,361261,20763,0,1689,1498,1194,32,25176,25176,2228,22949,1463,106,5109,6678,29,1473,16261,103115,0,126064,0,126064,0
261,JHARKHAND,LOHARDAGA,1239,127563,21683,149246,18975,0,177,539,380,0,20070,20070,1899,18171,941,8,1834,2783,15,948,15382,82805,0,100976,0,100976,0
262,JHARKHAND,PAKUR,1660,127759,52800,180559,23810,0,1401,572,362,0,26144,26144,2614,23530,1663,28,1912,3603,15,1675,19915,60072,0,83602,0,83602,0
263,JHARKHAND,PALAMAU,1024,347344,104315,451659,24866,0,6220,1826,694,372,33978,33978,2563,31415,3947,217,7303,11467,37,3974,19921,153718,0,185132,0,185132,0
264,JHARKHAND,RAMGARH,1308,111267,28298,139565,8771,0,165,432,389,1675,11433,11433,845,10589,2084,3027,1457,6568,62,2099,4049,51707,0,62296,0,62296,0
265,JHARKHAND,RANCHI,1314,374308,123913,498221,34660,0,688,2642,973,1431,40393,40393,3804,36589,6383,1695,8710,16788,46,6427,19757,176061,0,212650,0,212650,0
266,JHARKHAND,SAHEBGANJ,1564,114409,55796,170205,26491,0,3148,640,523,0,30803,30803,2487,28316,2354,50,2207,4611,16,2370,23689,159806,0,188121,0,188121,0
267,JHARKHAND,SARAIKELA KHARSAWAN,1323,202801,65416,268217,16182,0,745,319,1,252,17499,17499,1551,15948,2234,527,1100,3860,24,2249,12072,125068,0,141015,0,141015,0
268,JHARKHAND,SIMDEGA,1548,309060,66169,375229,21577,0,138,477,581,0,22773,22773,2277,20496,1207,0,2034,3241,16,1215,17247,147197,0,167693,0,167693,0
269,JHARKHAND,WEST SINGHBHUM,1329,588234,133986,722220,39810,0,1046,585,838,0,42279,42279,4159,38120,3078,30,2088,5196,14,3099,32903,257098,0,295217,0,295217,0
270,KARNATAKA,Bagalkot,661,628380,27812,656192,22390,1932,31818,11308,614,461,68523,68523,6852,61670,4504,28,44115,48648,79,5314,26085,0,0,61670,0,61670,0
271,KARNATAKA,Ballari,629,375891,46726,422617,16408,5689,45871,4281,406,185,72840,72840,7284,65556,2005,494,14180,16679,25,2682,48513,0,0,65556,0,65556,0
272,KARNATAKA,Belagavi,845,1295629,44262,1339891,61586,3305,32548,17685,1588,2113,118826,118826,11341,107485,12881,238,62578,75697,70,18974,34682,0,0,107485,0,107485,0
273,KARNATAKA,Bengaluru (Rural),850,223651,6386,230037,13645,0,0,1296,2595,1142,18679,18679,1868,16811,2652,1287,20735,24674,147,3400,0,0,0,16811,0,16811,0
274,KARNATAKA,Bengaluru (Urban),889,213026,6533,219559,13365,0,0,372,3065,9159,34265,34265,3427,30839,16224,13702,24744,54670,177,18261,0,0,0,30839,0,30839,0
275,KARNATAKA,Bengaluru South,886,273998,78812,352810,16999,454,7327,10156,2326,17308,54569,54569,5457,49112,2116,1021,41644,44781,91,2545,7030,0,0,49112,0,49112,0
276,KARNATAKA,Bidar,850,545314,139,545453,31002,642,1882,4028,226,194,37975,37975,3779,34195,4434,70,18743,23247,68,5036,10429,0,0,34195,0,34195,0
277,KARNATAKA,Chamarajanagara,1105,360940,202986,563926,24420,483,6117,6783,522,1390,39715,39715,3636,36079,2304,30,29549,31883,88,2613,5739,0,0,36079,0,36079,0
278,KARNATAKA,Chikkaballapura,919,373482,51623,425105,22989,0,0,4030,4015,3137,34171,34171,3417,30754,3049,121,47776,50946,166,3677,0,0,0,30754,0,30754,0
279,KARNATAKA,Chikkamagaluru,1245,423494,297454,720948,30597,1155,13522,8919,1653,11926,67773,67773,6418,61355,2562,203,31108,33873,55,3180,27931,0,0,61355,0,61355,0
280,KARNATAKA,Chitradurga,569,800461,43012,843473,30582,181,1584,5295,4065,1834,43541,43541,4219,39321,3979,116,48219,52314,133,4750,993,0,0,39321,0,39321,0
281,KARNATAKA,Dakshina Kannada,4032,357624,128476,486100,63853,0,169,6908,48,2350,73328,73328,7333,65995,5225,53,24888,30166,46,6523,34531,0,0,65995,0,65995,0
282,KARNATAKA,Davanagere,733,409552,38412,447964,18502,762,33693,5090,3546,2115,63708,63708,5913,57795,3686,229,47283,51198,89,4116,18679,0,0,57795,0,57795,0
283,KARNATAKA,Dharwad,771,416328,9157,425485,19664,709,8160,3417,631,488,33069,33069,3307,29762,2099,116,14704,16919,57,2376,12566,0,0,29762,0,29762,0
284,KARNATAKA,Gadag,711,435987,29528,465515,17808,1593,10554,3224,1155,1165,35500,35500,2947,32552,685,31,23830,24547,75,965,9718,0,0,32552,0,32552,0
285,KARNATAKA,Hassan,933,596297,85569,681866,32873,669,29025,14366,1567,8880,87380,87380,8239,79141,1173,40,47437,48651,61,1306,34514,0,0,79141,0,79141,0
286,KARNATAKA,Haveri,824,473754,8010,481764,25019,1283,30800,3276,2143,791,63313,63313,6331,56981,2024,73,34681,36778,65,2954,21424,0,0,56981,0,56981,0
287,KARNATAKA,Kalburgi,838,1096267,1262,1097529,57877,211,3603,7787,496,4923,74896,74896,7471,67425,7365,48,23758,31170,46,9369,34782,0,0,67425,0,67425,0
288,KARNATAKA,Kodagu,2215,202583,208756,411339,18746,102,1974,1576,76,1054,23528,23528,2236,21293,937,95,6548,7580,36,1063,13587,0,0,21293,0,21293,0
289,KARNATAKA,Kolara,822,382763,16230,398993,21359,,0,4310,7058,3976,36703,36703,3670,33033,4190,227,56506,60923,184,4970,0,0,0,33033,0,33033,0
290,KARNATAKA,Koppal,627,539866,17738,557604,19785,621,36696,8005,578,586,66271,66271,6415,59856,2833,278,33573,36683,61,3510,26673,0,0,59856,0,59856,0
291,KARNATAKA,Mandya,733,481743,13828,495571,21364,4036,32200,9830,1197,1036,69663,69663,6532,63131,3973,97,37500,41570,66,4250,24582,0,0,63131,0,63131,0
292,KARNATAKA,Mysuru,811,611645,19411,631056,31007,4393,27325,6650,1468,2355,73199,73199,7179,66020,3021,93,27878,30991,47,3724,34569,0,0,66020,0,66020,0
293,KARNATAKA,Raichur,580,838667,8325,846992,35473,1448,34802,7643,2339,4800,86505,86505,8021,78484,3370,183,30947,34500,44,4733,44519,0,0,78484,0,78484,0
294,KARNATAKA,Shivamogga,1916,674731,172586,847317,63162,1347,30971,10466,1882,409,108236,108236,10121,98115,2714,273,38619,41606,42,2984,58814,0,0,98115,0,98115,0
295,KARNATAKA,Tumakuru,745,991597,68728,1060325,53468,1185,10705,13726,3113,2803,85000,85000,8500,76500,5862,179,63903,69944,91,6890,14516,0,0,76500,0,76500,0
296,KARNATAKA,Udupi,4420,286998,70074,357072,44022,0,0,4568,38,6139,54767,54767,5477,49290,2125,61,13998,16184,33,2311,32920,0,0,49290,0,49290,0
297,KARNATAKA,Uttara Kannada,2601,658548,371143,1029691,82234,0,0,6684,1121,2685,92724,92724,8952,83772,3167,29,22384,25580,31,3426,57933,0,0,83772,0,83772,0
298,KARNATAKA,Vijayanagara,650,539753,27012,566765,22411,438,12096,7041,877,522,43385,43385,3581,39804,1593,32,30492,32117,81,1905,9296,0,0,39804,0,39804,0
299,KARNATAKA,Vijayapura,613,1048841,1463,1050304,68757,1071,24598,6918,1068,3023,105434,105434,10127,95307,5133,62,37654,42848,45,6019,53322,0,0,95307,0,95307,0
